Name,Supplier,PartNumber,Price,DocURL,Skip,MirroredConnector,Backwards,Connectors,CopyComponents,PinMap,DownloadType,DownloadURL,Filename
"Small 1.2"" 8x8 Ultra Bright White LED Matrix + Backpack",Adafruit,1632,$13.50 ,http://adafru.it/1632,,FALSE,TRUE,CN1,,,svn,https://github.com/adafruit/Adafruit-LED-Backpacks,Adafruit-LED-Backpacks/trunk/Adafruit 1.2inch 8x8 backpack.brd
"Adafruit 0.56"" 4-Digit 7-Segment Display w/I2C Backpack - Red",Adafruit,878,$9.95 ,http://adafru.it/878,,FALSE,TRUE,CN1,,,svn,https://github.com/adafruit/Adafruit-LED-Backpacks,Adafruit-LED-Backpacks/trunk/Adafruit 7seg backpack.brd
"Adafruit 0.56"" 4-Digit 7-Segment Display w/I2C Backpack - Yellow",Adafruit,879,$9.95 ,http://adafru.it/879,,FALSE,TRUE,CN1,,,svn,https://github.com/adafruit/Adafruit-LED-Backpacks,Adafruit-LED-Backpacks/trunk/Adafruit 7seg backpack.brd
"Adafruit 0.56"" 4-Digit 7-Segment Display w/I2C Backpack - Green",Adafruit,880,$9.95 ,http://adafru.it/880,,FALSE,TRUE,CN1,,,svn,https://github.com/adafruit/Adafruit-LED-Backpacks,Adafruit-LED-Backpacks/trunk/Adafruit 7seg backpack.brd
"Adafruit 0.56"" 4-Digit 7-Segment Display w/I2C Backpack - Blue",Adafruit,881,$11.95 ,http://adafru.it/881,,FALSE,TRUE,CN1,,,svn,https://github.com/adafruit/Adafruit-LED-Backpacks,Adafruit-LED-Backpacks/trunk/Adafruit 7seg backpack.brd
"Adafruit 0.56"" 4-Digit 7-Segment Display w/I2C Backpack - White",Adafruit,1002,$10.95 ,http://adafru.it/1002,,FALSE,TRUE,CN1,,,svn,https://github.com/adafruit/Adafruit-LED-Backpacks,Adafruit-LED-Backpacks/trunk/Adafruit 7seg backpack.brd
Adafruit Bicolor LED Square Pixel Matrix with I2C Backpack,Adafruit,902,$15.95 ,http://adafru.it/902,,FALSE,TRUE,CN1,,,svn,https://github.com/adafruit/Adafruit-LED-Backpacks,Adafruit-LED-Backpacks/trunk/Adafruit bicolor 8x8.brd
Bi-Color (Red/Green) 24-Bar Bargraph w/I2C Backpack Kit,Adafruit,1721,$9.95 ,http://adafru.it/1721,,FALSE,TRUE,CN1,,,svn,https://github.com/adafruit/Adafruit-LED-Backpacks,Adafruit-LED-Backpacks/trunk/Adafruit bicolor bargraph 24.brd
Adafruit Mini 8x8 LED Matrix w/I2C Backpack - Yellow,Adafruit,871,$9.95 ,http://adafru.it/871,,FALSE,TRUE,CN1,,,svn,https://github.com/adafruit/Adafruit-LED-Backpacks,Adafruit-LED-Backpacks/trunk/Adafruit min8x8 backpack.brd
"Adafruit Mini 0.8"" 8x8 LED Matrix w/I2C Backpack - Yellow-Green",Adafruit,872,$9.95 ,http://adafru.it/872,,FALSE,TRUE,CN1,,,svn,https://github.com/adafruit/Adafruit-LED-Backpacks,Adafruit-LED-Backpacks/trunk/Adafruit min8x8 backpack.brd
